trial,finger,markerPos,correctResp,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,thisRow.t,notes,Trigger.started,text_2.started,key_resp_4.started,mouse.started,image.started,text_4.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,complex_block.started,index2.started,middle2.started,ring2.started,little2.started,key_resp.started,marker.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Session,Subject,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.011740999994799495,0.03586216701660305,0.03586216701660305,0.009457290987484157,0.03586216701660305,0.03586216701660305,37.469139000051655,None,,,,,,,,,,,,,,,,,,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
,,,,,,,,,,,,,,,,,,-0.24722222222222223,0.17333333333333334,1,0,0,,,,,,,,,,,,,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
1,M,"[-0.15, 0.1]",2.0,0,0,0,0,37.48943920794409,,,,,,,,,,,,,,,37.482728707953356,37.48943920794409,37.48943920794409,37.48943920794409,37.48943920794409,0.013546083006076515,37.61538162501529,40.92520775005687,2,0,21.101093667093664,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
2,R,"[0.2, -0.05]",3.0,0,1,1,1,40.943684875033796,,,,,,,,,,,,,,,40.927038957946934,40.943684875033796,40.943684875033796,40.943684875033796,40.943684875033796,0.0008308340329676867,41.06610533304047,41.78455054201186,3,0,18.54595675005112,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
3,M,"[-0.15, 0.1]",2.0,0,2,2,2,41.79603474994656,,,,,,,,,,,,,,,41.78560349997133,41.79603474994656,41.79603474994656,41.79603474994656,41.79603474994656,0.0007505409885197878,41.93274504202418,42.69374970800709,2,0,18.59061491698958,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
4,R,"[0.2, -0.05]",3.0,0,3,3,3,42.705189000000246,,,,,,,,,,,,,,,42.69478799996432,42.705189000000246,42.705189000000246,42.705189000000246,42.705189000000246,0.0007323749596253037,42.84177175001241,43.23392279201653,3,0,18.22736291703768,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
5,I,"[-0.5, -0.1]",1.0,0,4,4,4,43.24548879195936,,,,,,,,,,,,,,,43.23503424995579,43.24548879195936,43.24548879195936,43.24548879195936,43.24548879195936,0.0007902079960331321,43.38242849998642,44.067666916991584,1,0,18.52071008400526,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
6,I,"[-0.5, -0.1]",1.0,0,5,5,5,44.078956666984595,,,,,,,,,,,,,,,44.06870004197117,44.078956666984595,44.078956666984595,44.078956666984595,44.078956666984595,0.0007264999439939857,44.21656704205088,44.68447129195556,1,0,18.301634207949974,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
7,R,"[0.2, -0.05]",3.0,0,6,6,6,44.70731708302628,,,,,,,,,,,,,,,44.68550145800691,44.70731708302628,44.70731708302628,44.70731708302628,44.70731708302628,0.0007256669923663139,44.83329766697716,45.54356070805807,3,0,18.545517042046413,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
8,M,"[-0.15, 0.1]",2.0,0,7,7,7,45.55502199998591,,,,,,,,,,,,,,,45.54461095796432,45.55502199998591,45.55502199998591,45.55502199998591,45.55502199998591,0.0007332500535994768,45.69214000005741,46.28636925003957,2,0,18.42300549999345,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
9,L,"[0.55, -0.25]",4.0,0,8,8,8,46.295649708015844,,,,,,,,,,,,,,,46.287457125028595,46.295649708015844,46.295649708015844,46.295649708015844,46.295649708015844,0.00073441700078547,46.434240208007395,48.07768924999982,4,0,19.47077429201454,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
10,I,"[-0.5, -0.1]",1.0,0,9,9,9,48.086431541945785,,,,,,,,,,,,,,,48.078722666949034,48.086431541945785,48.086431541945785,48.086431541945785,48.086431541945785,0.0007326659979298711,48.2251721250359,49.783885124954395,1,0,19.393549000029452,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
1,M,"[-0.15, 0.1]",2.0,1,0,10,0,49.795861250022426,,,,,,,,,,,,,,,49.78490683296695,49.795861250022426,49.795861250022426,49.795861250022426,49.795861250022426,0.0007210000185295939,49.93333395803347,50.44419312500395,2,0,18.3441681250697,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
2,R,"[0.2, -0.05]",3.0,1,1,11,1,50.45585387502797,,,,,,,,,,,,,,,50.44538112496957,50.45585387502797,50.45585387502797,50.45585387502797,50.45585387502797,0.0007755410624668002,50.592353541986085,50.960595416952856,3,0,18.179710166994482,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
3,M,"[-0.15, 0.1]",2.0,1,2,12,2,50.97631712502334,,,,,,,,,,,,,,,50.96183575002942,50.97631712502334,50.97631712502334,50.97631712502334,50.97631712502334,0.0008660000748932362,51.10892020794563,51.543541291961446,2,0,18.268463166081347,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
4,R,"[0.2, -0.05]",3.0,1,3,13,3,51.55524295801297,,,,,,,,,,,,,,,51.544575916952454,51.55524295801297,51.55524295801297,51.55524295801297,51.55524295801297,0.0007446670206263661,51.69228125002701,51.98577833303716,3,0,18.122694749967195,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
5,I,"[-0.5, -0.1]",1.0,1,4,14,4,51.99536033300683,,,,,,,,,,,,,,,51.98682137497235,51.99536033300683,51.99536033300683,51.99536033300683,51.99536033300683,0.0007315840339288116,52.13264987501316,52.70034304203,1,0,18.39923954103142,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
6,I,"[-0.5, -0.1]",1.0,1,5,15,5,52.71266545797698,,,,,,,,,,,,,,,52.70144287496805,52.71266545797698,52.71266545797698,52.71266545797698,52.71266545797698,0.0007681660354137421,52.84996854199562,53.41049387503881,1,0,18.394618874997832,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
7,R,"[0.2, -0.05]",3.0,1,6,16,6,53.42249024997,,,,,,,,,,,,,,,53.41116779204458,53.42249024997,53.42249024997,53.42249024997,53.42249024997,0.00046220794320106506,53.57657808298245,55.64384233299643,3,0,19.914612250053324,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
8,M,"[-0.15, 0.1]",2.0,1,7,17,7,55.65270108298864,,,,,,,,,,,,,,,55.644886667025276,55.65270108298864,55.65270108298864,55.65270108298864,55.65270108298864,0.0007254169322550297,55.792295875027776,56.9442947920179,2,0,18.980631583021022,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
9,L,"[0.55, -0.25]",4.0,1,8,18,8,56.95286375004798,,,,,,,,,,,,,,,56.94534291699529,56.95286375004798,56.95286375004798,56.95286375004798,56.95286375004798,0.0007238750113174319,57.09232391696423,57.62662366696168,4,0,18.36557437502779,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
10,I,"[-0.5, -0.1]",1.0,1,9,19,9,57.63806491694413,,,,,,,,,,,,,,,57.62764508300461,57.63806491694413,57.63806491694413,57.63806491694413,57.63806491694413,0.0007237499812617898,57.76720837503672,59.39427137502935,1,0,19.453424417064525,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
1,M,"[-0.15, 0.1]",2.0,2,0,20,0,59.40582695801277,,,,,,,,,,,,,,,59.39549945795443,59.40582695801277,59.40582695801277,59.40582695801277,59.40582695801277,0.0008899590466171503,59.542874917038716,60.00086779205594,2,0,18.292217290960252,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
2,R,"[0.2, -0.05]",3.0,2,1,21,1,60.012982917018235,,,,,,,,,,,,,,,60.00210270797834,60.012982917018235,60.012982917018235,60.012982917018235,60.012982917018235,0.0008727079257369041,60.15014987497125,60.59385754202958,3,0,18.276311332941987,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
3,M,"[-0.15, 0.1]",2.0,2,2,22,2,60.60563154204283,,,,,,,,,,,,,,,60.595119292032905,60.60563154204283,60.60563154204283,60.60563154204283,60.60563154204283,0.000873040989972651,60.74192383303307,61.284042833023705,2,0,18.3769238749519,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
4,R,"[0.2, -0.05]",3.0,2,3,23,3,61.29539233294781,,,,,,,,,,,,,,,61.28494475001935,61.29539233294781,61.29539233294781,61.29539233294781,61.29539233294781,0.0006258330540731549,61.433522457955405,61.86765854200348,3,0,18.268420375068672,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
5,I,"[-0.5, -0.1]",1.0,2,4,24,4,61.87954883300699,,,,,,,,,,,,,,,61.86867762496695,61.87954883300699,61.87954883300699,61.87954883300699,61.87954883300699,0.0007330420194193721,62.01614524994511,62.417992042028345,1,0,18.236211957992055,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
6,I,"[-0.5, -0.1]",1.0,2,5,25,5,62.429505457985215,,,,,,,,,,,,,,,62.41903566697147,62.429505457985215,62.429505457985215,62.429505457985215,62.429505457985215,0.0007435419829562306,62.566862332983874,63.06021933304146,1,0,18.32635779096745,None,1,JM,2024-09-25_15h52.19.873,Motor_Task,2023.2.2,122.14486381664696,2024-09-25 15h52.33.803547 -0700,
,,,,,,,,63.07163304195274,,,,,,,,,,,,,,,63.06122920801863,63.07163304195274,63.07163304195274,63.07163304195274,63.07163304195274,0.0007246669847518206,63.208748291945085,,,,,,,,,,,,,
